,id,cnpj
291,2464,16868674000142
292,2465,21735223000177
293,2466,11686277000136
294,2467,18905983000170
295,2468,02316886000102
296,2469,13758327000179
297,2470,12500834000145
298,2471,02055765000154
299,2472,20936189000136
300,2473,20900592000105
301,2474,02316886000102
302,2475,19915068000129
303,2476,19571002000169
304,2477,21735223000177
305,2478,16500873000101
306,2479,20620960000161
307,2480,11862730000118
308,2481,20114979000136
309,2482,13758327000179
310,2483,02055765000154
311,2484,12500834000145
312,2485,19571002000169
313,2486,15724019000158
314,2487,21023758000115
315,2488,11862730000118
316,2489,02316886000102
317,2490,11686277000136
318,2491,10754436000120
319,2492,19915068000129
320,2493,20900592000105
321,2494,06033741000155
322,2495,11641316000189
323,2496,02055765000154
324,2497,11041213000188
325,2498,20936189000136
326,2499,20620960000161
327,2500,00761025000108
328,2501,19915068000129
329,2502,20900592000105
330,2503,21189579000152
331,2504,05868520000134
332,2505,13758327000179
333,2506,12500834000145
334,2507,10752963000103
335,2508,02316886000102
336,2509,17398129000100
337,2510,18642714000169
338,2511,21338820000168
339,2512,26524199000140
340,2513,20771494000115
341,5591,19605002000132
342,5592,16868674000142
343,5593,19571002000169
344,5594,07312656000199
345,5595,14016932000137
346,5596,09071136000167
347,5597,02055765000154
348,5598,19605002000132
349,5599,02055765000154
350,5600,20483193000196
351,5601,20825848000167
352,5602,16868674000142
353,5603,04896671000133
354,5604,18768894000120
355,5605,26524199000140
356,5606,19571002000169
357,5607,02055765000154
358,5608,20825848000167
359,5609,09541597000156
360,5610,14016932000137
361,5611,09071136000167
362,5612,04896671000133
363,5613,11139478000113
364,5614,20825848000167
365,5615,02055765000154
366,5616,20483193000196
367,5617,19571002000169
368,5625,11139478000113
369,5626,20483193000196
370,5627,14016932000137
371,5628,04896671000133
372,5629,19571002000169
373,5630,02055765000154
374,5631,09071136000167
375,5639,04896671000133
376,5640,18768894000120
377,5641,19571002000169
378,5642,14016932000137
379,5643,02055765000154
380,5644,20825848000167
381,5645,26524199000140
382,5652,07312656000199
